drug,temp,press,mw_drug,mp_drug,rho_scco2,sol,sol_mol_frac
Rosuvastatin,308,121.6,236,435,771,0.19,0.000023
Rosuvastatin,308,152,236,435,818,0.24,0.000027
Rosuvastatin,308,182.4,236,435,850,0.33,0.000036
Rosuvastatin,308,212.8,236,435,876,0.39,0.000041
Rosuvastatin,308,243.2,236,435,897,0.43,0.000044
Rosuvastatin,308,273.6,236,435,916,0.49,0.000049
Rosuvastatin,308,304,236,435,931,0.53,0.000052
Rosuvastatin,308,334.4,236,435,946,0.59,0.000057
Rosuvastatin,308,354.6,236,435,955,0.62,0.00006
Rosuvastatin,318,121.6,236,435,661,0.09,0.000013
Rosuvastatin,318,152,236,435,745,0.22,0.000027
Rosuvastatin,318,182.4,236,435,792,0.36,0.000042
Rosuvastatin,318,212.8,236,435,826,0.45,0.00005
Rosuvastatin,318,243.2,236,435,852,0.58,0.000062
Rosuvastatin,318,273.6,236,435,875,0.67,0.00007
Rosuvastatin,318,304,236,435,893,0.76,0.000078
Rosuvastatin,318,334.4,236,435,910,0.87,0.000087
Rosuvastatin,318,354.6,236,435,915,1.16,0.000115
Rosuvastatin,328,121.6,236,435,516,0.03,0.000005
Rosuvastatin,328,152,236,435,657,0.15,0.000021
Rosuvastatin,328,182.4,236,435,726,0.32,0.00004
Rosuvastatin,328,212.8,236,435,771,0.52,0.000062
Rosuvastatin,328,243.2,236,435,804,0.69,0.000078
Rosuvastatin,328,273.6,236,435,831,0.84,0.000093
Rosuvastatin,328,304,236,435,853,1.03,0.000111
Rosuvastatin,328,334.4,236,435,872,1.18,0.000123
Rosuvastatin,328,354.6,236,435,884,1.3,0.000134
Rosuvastatin,338,121.6,236,435,396,0.01,0.000003
Rosuvastatin,338,152,236,435,561,0.09,0.000015
Rosuvastatin,338,182.4,236,435,654,0.26,0.000036
Rosuvastatin,338,212.8,236,435,712,0.49,0.000063
Rosuvastatin,338,243.2,236,435,754,0.76,0.000092
Rosuvastatin,338,273.6,236,435,786,0.99,0.000115
Rosuvastatin,338,304,236,435,812,1.26,0.000141
Rosuvastatin,338,334.4,236,435,834,1.52,0.000167
